Bedroom,Bathroom,Property Size,Nearby School,Nearby Mall,Category,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,Firm Type,Bus Stop,Mall,Park,School,Hospital,price,Highway,Nearby Railway Station,Railway Station,num_facilities
1.0,1.0,452,0,Utropolis Marketplace,"Apartment / Condominium, For Sale","Security, Swimming Pool, Gymnasium, Parking, Minimart, Multipurpose hall, Barbeque area, Lift",Paramount Utropolis,Paramount Property,Freehold,"Jalan Kontraktor U1/14, Hicom-Glenmarie Industrial Park, Shah Alam, Selangor",2020.0,12.0,136.0,Studio,1.0,High,Bumi Lot,VEPM,"Bus Stop at Jalan Montfort
Bus Stop at Persiaran Kerjaya",0,0,Montfort Boys Town,0,350000,0,0,,8
2.0,2.0,1016,0,,"Apartment / Condominium, For Sale","Playground, Swimming Pool, Sauna, Security, Gymnasium, Multipurpose hall, Barbeque area, Parking",Grace Residence,Nova Mulia Development Sdn Bhd,Freehold,"Jalan Jelutong, Off Tun Dr. Lim Chong Eu Hwy, Jelutong, Penang",2018.0,44.0,378.0,Condominium,2.0,Medium,Non Bumi Lot,E,,0,0,,0,620000,0,0,,8
3.0,2.0,1182,0,,"Apartment / Condominium, For Sale","Minimart, Playground, Swimming Pool, Multipurpose hall, Gymnasium, Barbeque area, Parking, Security, Sauna",Sierra Residences,Gsd Land (M) Sdn Bhd,Freehold,"Jalan Fettes, Off Jalan Paya Terubong, Sungai Ara, Penang",2015.0,25.0,300.0,Condominium,2.0,High,Non Bumi Lot,E,,0,0,,0,500000,0,0,,9
2.0,2.0,1005,0,,"Apartment / Condominium, For Sale","Gymnasium, Multipurpose hall, Parking, Security, Swimming Pool, Playground, Tennis Court, Squash Court, Jogging Track, Barbeque area, Sauna, Lift",Molek Regency,Alpha Astral Realty Sdn Bhd,Freehold,"Jalan Molek 3/20, Taman Molek, Johor Bahru, Johor",2018.0,22.0,1050.0,Condominium,2.0,-,Non Bumi Lot,-,,0,0,,0,515000,0,0,,12
1.0,1.0,430,0,,"Apartment / Condominium, For Sale","Parking, Playground, Gymnasium, Sauna, Multipurpose hall, Security, Swimming Pool, Lift",Parc Regency Serviced Apartment,Malaysia Land Properties Sdn. Bhd.,Freehold,"Off Jalan Masai Baru, Plentong, Johor Bahru, Johor",2019.0,25.0,2003.0,Service Residence,1.0,Low,Non Bumi Lot,-,,0,0,,0,200000,0,0,,8
3.0,2.0,986,0,,"Apartment / Condominium, For Sale","Club house, Parking, Security, Minimart, Lift, Sauna, Squash Court, Jogging Track, Multipurpose hall, Swimming Pool, Gymnasium, Playground, Barbeque area",D'Inspire Residence @ Nusa Bestari,Khoo Soon Lee Realty Sdn. Bhd.,Freehold,"Taman Nusa Bestari, Skudai, Iskandar Puteri, Johor",2015.0,25.0,585.0,Apartment,2.0,High,Non Bumi Lot,-,,0,0,,0,418000,0,0,,13
4.0,3.0,1387,0,,"Apartment / Condominium, For Sale","Playground, Swimming Pool, Gymnasium, Jogging Track, Parking, Security, Club house, Lift, Minimart, Multipurpose hall, Barbeque area",R&F Princess Cove,R&F Development Sdn Bhd,Freehold,"Off Lebuhraya Sultan Iskandar, Tanjung Puteri, Johor Bahru, Johor",2018.0,35.0,3224.0,Service Residence,2.0,High,Non Bumi Lot,E,,0,0,,0,1150000,0,0,,11
3.0,2.0,720,0,,"Apartment / Condominium, For Sale","Parking, Sauna, Gymnasium, Jogging Track, Barbeque area, Security, Swimming Pool",The Heights Residence @ Taman Muzaffar Heights,Scientex Berhad,Leasehold,"Melaka, Ayer Keroh, Ayer Keroh, Melaka",2018.0,22.0,160.0,Condominium,1.0,Medium,Non Bumi Lot,E,,0,0,,0,320000,0,0,,7
4.0,4.0,1474,0,,"Apartment / Condominium, For Sale","Parking, Playground, Multipurpose hall, Gymnasium, Lift, Barbeque area, Security, Swimming Pool, Jogging Track",The Riyang @ Happy Garden,Suntrack Development Sdn Bhd,Freehold,"Off Jalan Kuchai Maju, Happy Garden, Kuchai Lama, Kuala Lumpur",2020.0,35.0,212.0,Condominium,2.0,High,Non Bumi Lot,E,"Bus Stop Sungai Besi Expressway
Bus Stop Jalan Riang 11
Bus Stop ILP Kuala Lumpur",0,0,"SJK (C) La Salle Sri Petaling
SK Salak South",0,880000,0,0,,9
3.0,2.0,1011,0,,"Apartment / Condominium, For Sale","Jogging Track, Lift, Barbeque area, Parking, Swimming Pool, Club house, Playground, Tennis Court, Gymnasium, Multipurpose hall, Security, Sauna",Horizon Residence Luxury Apartment,Mahabuilders Berhad,Freehold,"Lebuhraya Bukit Indah, Bukit Indah, Johor Bahru, Johor",2014.0,26.0,440.0,Apartment,2.0,-,Non Bumi Lot,-,,0,0,,0,420000,0,0,,12
3.0,2.0,925,0,Gem In Mall,"Apartment / Condominium, For Sale","Gymnasium, Security, Playground, Swimming Pool, Barbeque area, Parking, Minimart, Tennis Court, Club house",Cyberia SmartHomes,Paramoden (Mk Land),Freehold,"Persiaran Multimedia, Cyberjaya, Selangor",2002.0,22.0,1188.0,Condominium,1.0,Medium,Non Bumi Lot,E,"Bus Stop at Persiaran Multimedia 1
Bus Stop at Jalan Fauna 1
Bus Stop at University bus stop
Bus Stop at Persiaran Ceria",0,0,"Sekolah Kebangsaan Cyberjaya
Sekolah Menengah Kebangsaan Cyberjaya
King Henry VIII College
ELC International School",0,255000,0,0,,9
3.0,3.0,1400,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Raffel Tower,Bsg Property,Freehold,"1 Off Jalan Bukit Gambir, Bukit Gambir, Gelugor, Penang",2015.0,29.0,260.0,Condominium,2.0,Medium,Non Bumi Lot,E,,0,0,,0,978000,0,0,,14
3.0,2.0,800,0,,"Apartment / Condominium, For Sale","Swimming Pool, Security, Parking, Minimart, Playground, Sauna, Gymnasium, Lift",Karisma @ Eco Majestic,Eco World Development Group Berhad,Freehold,"Pangsapuri Karisma, Jalan Eco Majestic 3A/5, Semenyih, Selangor",2014.0,4.0,75.0,Apartment,2.0,Medium,Non Bumi Lot,E,,0,0,,0,260000,0,0,,8
3.0,2.0,1152,0,,"Apartment / Condominium, For Sale","Security, Multipurpose hall, Lift, Barbeque area, Playground, Swimming Pool, Sauna, Parking, Gymnasium, Jogging Track",Flexis @ One South,Hua Yang Berhad,Leasehold,"Persiaran Serdang Perdana, Seri Kembangan, Selangor",2015.0,21.0,424.0,Others,2.0,Low,Non Bumi Lot,E,"Bus Stop at Jalan Utama 1
Bus Stop at Jalan Utama 2",0,0,,0,530000,0,0,,10
3.0,2.0,1334,0,,"Apartment / Condominium, For Sale","Jogging Track, Multipurpose hall, Swimming Pool, Tennis Court, Parking, Gymnasium, Security, Playground, Barbeque area, Lift, Minimart, Club house",Sky Condominium @ Bandar Puchong Jaya,Ioi Properties Group,Freehold,"Persiaran Puchong Jaya Selatan, Bandar Puchong Jaya, Puchong, Selangor",2019.0,30.0,1039.0,Condominium,2.0,Medium,Non Bumi Lot,-,,0,0,"Sekolah Kebangsaan Bandar Kinrara Seksyen 2
Sekolah Jenis Kebangsaan (Cina) Shin Cheng (Harcroft)
Sekolah Menengah Kebangsaan Bandar Puchong Jaya (B)
Sekolah Kebangsaan Bukit Kuchai",0,950000,0,0,,12
1.0,1.0,705,0,,"Apartment / Condominium, For Sale","Security, Swimming Pool, Barbeque area, Playground, Gymnasium, Jogging Track, Sauna, Multipurpose hall, Lift, Parking, Minimart",The Elements,Elite Forward Sdn Bhd (L&G / Mayland),Freehold,"Jalan Ampang Ulu, Ampang, Ampang, Kuala Lumpur",2015.0,41.0,1040.0,Service Residence,1.0,-,Non Bumi Lot,E,"Bus Stop Ampang Timur (KL1816)
Bus Stop Bangunan Risda (KL2290)
Bus Stop 3 Towers KL (KL2297)
Bus Stop 4 Jalan Ampang",0,0,Libyan School,0,375000,0,0,,11
3.0,2.0,965,0,,"Apartment / Condominium, For Sale","Parking, Gymnasium, Swimming Pool, Playground",228 Selayang Condominium,Mahumas Sdn Bhd,Leasehold,"Jalan Besar Selayang Baru, Selayang Baru, Selayang, Selangor",2015.0,16.0,228.0,Condominium,2.0,-,Bumi Lot,E,,0,0,"Sekolah Menengah Kebangsaan Seri Selayang
Sekolah Menengah Kebangsaan Taman Selayang
Sekolah Kebangsaan (2) Taman Selayang
Sekolah Kebangsaan (1) Taman Selayang
Sekolah Menengah Kebangsaan Selayang Bharu
Sekolah Menengah Kebangsaan Darul Ehsan
Sekolah Kebangsaan Selayang Baru (2)
Sekolah Jenis Kebangsaan(C) Selayang Baru",0,368000,0,0,,4
4.0,3.0,1654,0,,"Apartment / Condominium, For Sale","Parking, Security, Playground, Swimming Pool, Lift, Barbeque area, Sauna, Gymnasium, Jogging Track, Minimart, Multipurpose hall",Puteri Palma Condominium,Ioi Properties Group,Freehold,"SKVE, IOI Resort, Putrajaya, Putrajaya",1998.0,15.0,198.0,Condominium,2.0,Medium,Non Bumi Lot,VEPM,,0,0,,0,670000,0,0,,11
3.0,2.0,1000,0,,"Apartment / Condominium, For Sale","Parking, Jogging Track, Security, Barbeque area, Minimart, Playground, Lift",Sri Lavender Apartment,Tls Group,Freehold,"Jalan Sepakat Indah 2/1, Taman Sepakat Indah 2, Kajang, Selangor",2007.0,13.0,445.0,Apartment,2.0,Low,Non Bumi Lot,E,,0,0,,0,295000,0,0,,7
3.0,2.0,700,0,,"Apartment / Condominium, For Sale","Swimming Pool, Tennis Court, Security, Parking, Playground, Lift",Azuria,-,Freehold,"No. 18, Jalan Lembah Permai, Tanjong Bungah,, Tanjung Bungah, Penang",1999.0,16.0,476.0,Condominium,1.0,Medium,Non Bumi Lot,E,,0,0,,0,320000,0,0,,6
3.0,2.0,1598,0,,"Apartment / Condominium, For Sale","Security, Swimming Pool, Gymnasium, Parking, Lift, Playground, Multipurpose hall",The Clovers,Asia Green Group,Freehold,"Jalan Merbah Off Jalan Dato Ismail Hashim, Sungai Ara, Penang",2017.0,42.0,670.0,Condominium,2.0,Medium,Non Bumi Lot,E,,0,0,,0,620000,0,0,,7
3.0,2.0,1001,0,,"Apartment / Condominium, For Sale","Security, Minimart, Lift, Parking, Playground",Pangsapuri Saujana Permai 2,Majlis Perbandaran Kajang,Freehold,"Jalan Bukit Mutiara 1, Sentosa Heights, Kajang, Selangor",2006.0,22.0,246.0,Apartment,2.0,Medium,Non Bumi Lot,E,,0,0,,0,280000,0,0,,5
3.0,3.0,1515,0,,"Apartment / Condominium, For Sale","Parking, Playground, Swimming Pool, Security, Lift, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Puteri Palma Condominium,Ioi Properties Group,Freehold,"SKVE, IOI Resort, Putrajaya, Putrajaya",1998.0,15.0,198.0,Condominium,1.0,Low,Non Bumi Lot,VEPM,,0,0,,0,550000,0,0,,11
3.0,2.0,850,0,,"Apartment / Condominium, For Sale","Security, Parking",Flora Damansara,Mk Land Holdings,Leasehold,"Jalan PJU 8/9, Damansara Perdana, Selangor",2015.0,20.0,1440.0,Condominium,1.0,Medium,Non Bumi Lot,VE,,0,0,,0,245000,0,0,,2
3.0,2.0,1012,0,,"Apartment / Condominium, For Sale","Playground, Gymnasium, Sauna, Swimming Pool, Security, Barbeque area, Minimart, Parking, Lift, Multipurpose hall",Amara Service Residences,Jaya Megah Development Sdn Bhd,Freehold,"Jalan Raintree Utama, Batu Caves, Selangor",2014.0,23.0,744.0,Service Residence,3.0,Medium,Non Bumi Lot,E,,0,0,"Sekolah Jenis Kebangsaan (T) Batu Caves
Sekolah Jenis Kebangsaan(C) Kheow Bin",0,369900,0,0,KTM Station Batu Caves (Komuter Seremban Line),10
1.0,1.0,477,0,,"Apartment / Condominium, For Sale","Barbeque area, Multipurpose hall, Security, Playground, Swimming Pool, Gymnasium, Parking, Lift, Sauna",Kiara Plaza,Syf Development,Freehold,"Jalan Semenyih, Semenyih, Selangor",2017.0,23.0,763.0,Service Residence,1.0,Low,Non Bumi Lot,E,,0,0,,0,220000,0,0,,9
4.0,3.0,1300,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",MiNest Residence,Mi Nest Development Sdn Bhd,Freehold,"Jalan Sinar Sentul, Sentul, Kuala Lumpur",2023.0,44.0,684.0,Service Residence,3.0,Medium,Non Bumi Lot,E,,0,0,,0,518000,0,0,,14
3.0,2.0,1261,0,,"Apartment / Condominium, For Sale","Gymnasium, Parking, Security, Swimming Pool, Lift, Playground, Sauna, Barbeque area, Multipurpose hall, Minimart",Trinity Aquata,Trinity Group,Freehold,"Sungai Besi, Sungai Besi, Kuala Lumpur",2019.0,26.0,344.0,Condominium,2.0,High,Non Bumi Lot,E,"Bus Stop Desa Petaling (Selatan)
Bus Stop Winner Heights
Bus Stop S*PARK Shopping Complex
Bus Stop SK Desa Petaling
Bus Stop To Lobby Utama
Bus Stop Pangsaria",0,0,"SK Desa Petaling
SK Salak South
SMK Desa Petaling
SJK(C) Salak South",0,659900,0,0,"ERL Station ERL Bandar Tasik Selatan (KLIA Transit)
KTM Station Bandar Tasik Selatan (Komuter Seremban Line)
KTM Station Bandar Tasik Selatan (Komuter Seremban Line)
LRT Station Bandar Tasik Selatan (Sri Petaling Line)",10
3.0,3.0,1690,0,,"Apartment / Condominium, For Sale","Parking, Lift, Security, Playground, Swimming Pool, Minimart, Multipurpose hall, Sauna, Gymnasium, Barbeque area",8 Petaling,Petaling Garden Sdn Bhd (I & P Group),Freehold,"Jalan Radin, Zone K, Bandar Baru Sri Petaling, Sri Petaling, Kuala Lumpur",2014.0,18.0,156.0,Condominium,2.0,Low,Bumi Lot,E,,0,0,,0,738000,0,0,,10
4.0,3.0,1300,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",MiNest Residence,Mi Nest Development Sdn Bhd,Freehold,"Jalan Sinar Sentul, Sentul, Kuala Lumpur",2023.0,44.0,684.0,Service Residence,2.0,Medium,Non Bumi Lot,VE,,0,0,,0,545000,0,0,,14
3.0,2.0,1000,0,,"Apartment / Condominium, For Sale","Playground, Sauna, Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall, Lift, Security, Parking, Minimart, Jogging Track",LSH Sentul,Lim Seong Hai Holdings Sdn Bhd,Leasehold,"Lot 30256 & 3952, Jalan Sentul Pasar, Sentul, Kuala Lumpur",2023.0,38.0,900.0,Apartment,2.0,Medium,Non Bumi Lot,VE,"Bus Stop Duta–Ulu Klang Expressway
Bus Stop 1 Kg Chubadak Tambahan
Bus Stop 2 Kg Chubadak Tambahan
Bus Stop Kg Chubadak Hulu
Bus Stop SMK Batu Muda
Bus Stop Kg Chubadak Hulu (Selatan)
Bus Stop SMK Batu Muda (Opp)
Bus Stop Kg Chubadak
Bus Stop SJKC Sentul Peng Ming (Opp)
Bus Stop 1 Kg Chubadak Hulu (Utara)
Bus Stop 2 Kg Chubadak Hulu (Utara)",0,0,"Permata Kurnia
SMK Batu Muda
SJK (C) Peng Ming",0,450000,0,0,,11
3.0,2.0,1000,0,,"Apartment / Condominium, For Sale","Gymnasium, Multipurpose hall, Playground, Swimming Pool, Sauna, Barbeque area",LSH Sentul,Lim Seong Hai Holdings Sdn Bhd,Leasehold,"Lot 30256 & 3952, Jalan Sentul Pasar, Sentul, Kuala Lumpur",2023.0,38.0,900.0,Apartment,2.0,Medium,Non Bumi Lot,VE,"Bus Stop Duta–Ulu Klang Expressway
Bus Stop 1 Kg Chubadak Tambahan
Bus Stop 2 Kg Chubadak Tambahan
Bus Stop Kg Chubadak Hulu
Bus Stop SMK Batu Muda
Bus Stop Kg Chubadak Hulu (Selatan)
Bus Stop SMK Batu Muda (Opp)
Bus Stop Kg Chubadak
Bus Stop SJKC Sentul Peng Ming (Opp)
Bus Stop 1 Kg Chubadak Hulu (Utara)
Bus Stop 2 Kg Chubadak Hulu (Utara)",0,0,"Permata Kurnia
SMK Batu Muda
SJK (C) Peng Ming",0,445000,0,0,,6
1.0,1.0,434,0,,"Apartment / Condominium, For Sale",-,Parc Regency Serviced Apartment,Malaysia Land Properties Sdn. Bhd.,Freehold,"Off Jalan Masai Baru, Plentong, Johor Bahru, Johor",2019.0,25.0,2003.0,Service Residence,2.0,High,Non Bumi Lot,E,,0,0,,0,205000,0,0,,1
3.0,3.0,1515,0,,"Apartment / Condominium, For Sale","Parking, Playground, Swimming Pool, Security, Tennis Court, Squash Court, Lift, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Puteri Palma Condominium,Ioi Properties Group,Freehold,"SKVE, IOI Resort, Putrajaya, Putrajaya",1998.0,15.0,198.0,Condominium,1.0,High,Non Bumi Lot,VEPM,,0,0,,0,550000,0,0,,13
3.0,2.0,1350,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall",Parkland Residence @ Sungai Melaka,Parkland Group,Freehold,"Jalan Tun Perak, Bukit Baru, Melaka",2020.0,22.0,809.0,Service Residence,2.0,Medium,Non Bumi Lot,,,0,0,,0,548000,0,0,,9
3.0,2.0,753,0,,"Apartment / Condominium, For Sale","Minimart, Playground, Gymnasium, Jogging Track, Security, Squash Court, Parking, Swimming Pool, Tennis Court, Sauna",Urban Suites,Cosmopolitan Homes Sdn Bhd,Freehold,"Jalan Ahmad Noor, Jelutong, Penang",2020.0,42.0,150.0,Service Residence,2.0,High,Non Bumi Lot,E,,0,0,,0,650000,0,0,,10
3.0,3.0,1654,0,,"Apartment / Condominium, For Sale","Parking, Playground, Swimming Pool, Security, Lift, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Puteri Palma Condominium,Ioi Properties Group,Freehold,"SKVE, IOI Resort, Putrajaya, Putrajaya",1998.0,15.0,198.0,Condominium,2.0,Low,Non Bumi Lot,VEPM,,0,0,,0,437400,0,0,,11
3.0,2.0,1053,0,,"Apartment / Condominium, For Sale","Parking, Security, Playground, Multipurpose hall, Jogging Track",Goodview Heights ( Villa Residence ),Shl Consolidated Berhad,Freehold,"Jalan Goodview 1, Goodview Height, Kajang, Selangor",2016.0,5.0,469.0,Apartment,2.0,-,Non Bumi Lot,-,,0,0,,0,225500,0,0,,5
3.0,2.0,1081,0,,"Apartment / Condominium, For Sale","Parking, Multipurpose hall, Security, Swimming Pool, Sauna, Minimart, Playground, Gymnasium, Lift, Barbeque area",1 Sentul,Sentul Perdana Sdn. Bhd,Freehold,"Jalan Sentul Ria 1, Sentul, Sentul, Kuala Lumpur",2011.0,23.0,284.0,Condominium,2.0,-,Non Bumi Lot,E,"Bus Stop SPG Dato Senu
Bus Stop 1 Perumahan Sentul Impian
Bus Stop 2 Perumahan Sentul Impian
Bus Stop SJKC Sentul Peng Ming (Opp)
Bus Stop Sentul Al-Hidayah Mosque
Bus Stop SK Sentul 2
Bus Stop Pangsapuri Sentul Utara
Bus Stop 2 Kg Chubadak Tambahan
Bus Stop Rumah Kedai
Bus Stop Dato Senu Commercial
Bus Stop 1 Kg Chubadak Tambahan
Bus Stop Data Senu Field
Bus Stop Sentul Market
Bus Stop Madrasah Raudatul Muttaqin (Opp)
Bus Stop Kg Puah Bahagia
Bus Stop Kg Chubadak Hulu
Bus Stop Kg Chubadak Hulu (Selatan)
Bus Stop Skymeridien Sentul East
Bus Stop SMK Convent Sentul (Opp)
Bus Stop Kg Chubadak
Bus Stop SMK Convent Sentul",0,0,"SJK (C) Peng Ming
Sekolah Kebangsaan Sentul
Chong Hwa Independent High School
SJK (T) St. Joseph
SMK Convent Sentul",0,465500,0,0,,10
3.0,2.0,900,0,District K @ KLDC (U/C),"Apartment / Condominium, For Sale","Minimart, Playground, Swimming Pool, Barbeque area, Club house, Parking, Security, Lift",Pelangi Indah,Syarikat Perumahan Negara Berhad,Freehold,"Jalan Degong, Off Batu 4 1/4 Jalan Ipoh,, Jalan Ipoh, Kuala Lumpur",2003.0,20.0,290.0,Condominium,1.0,Medium,Non Bumi Lot,E,"Bus Stop Bamboo Garden Jalan Ipoh
Bus Stop Simpang Batu Kantomen / Caltex Jalan Ipoh
Bus Stop Kentonmen MRT Station
Bus Stop 2 Rainbow Garden
Bus Stop 1 Rainbow Garden
Bus Stop 1 SK Kampung Batu Jalan Ipoh
Bus Stop 2 SK Kampung Batu Jalan Ipoh
Bus Stop Kompleks Mutiara
Bus Stop Kok Lian Commercial
Bus Stop Kok Lian Garden / PPR Pekan Batu
Bus Stop Sri Kuching Garden
Bus Stop City Garden Commerical
Bus Stop SJKC Mun Choong",0,0,"SK Kg. Batu
Sekolah Menengah Kebangsaan Raja Ali
SJK (C) Lai Chee",0,250000,0,0,"KTM Station Batu Kentomen (Komuter Seremban Line)
KTM Station Kampung Batu (Komuter Seremban Line)
MRT Station Kampung Batu (MRT Putrajaya Line) and KTM Station Kampung Batu (Seremban Line)",8
2.0,2.0,1100,0,,"Apartment / Condominium, For Sale","Security, Gymnasium, Parking, Swimming Pool, Lift",Southbay Plaza @ Southbay City,Mah Sing Group Berhad,Freehold,"Southbay City, Jalan Permatang Damar Laut, Batu Maung, Bayan Lepas, Penang",2013.0,30.0,480.0,Service Residence,3.0,-,Non Bumi Lot,E,,0,0,,0,850000,0,0,,5
3.0,2.0,1011,0,,"Apartment / Condominium, For Sale","Swimming Pool, Gymnasium, Barbeque area, Security, Playground, Sauna, Minimart, Lift, Parking, Multipurpose hall",Amara Service Residences,Jaya Megah Development Sdn Bhd,Freehold,"Jalan Raintree Utama, Batu Caves, Selangor",2014.0,23.0,744.0,Service Residence,2.0,High,Non Bumi Lot,E,,0,0,"Sekolah Jenis Kebangsaan (T) Batu Caves
Sekolah Jenis Kebangsaan(C) Kheow Bin",0,300000,0,0,KTM Station Batu Caves (Komuter Seremban Line),10
3.0,2.0,1190,0,,"Apartment / Condominium, For Sale","Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall, Tennis Court",Elaeis 2,-,Freehold,"Block D, Jalan Bait U8/1, Section U8, Shah Alam, Selangor",2002.0,10.0,480.0,Condominium,1.0,Low,Bumi Lot,,,0,0,,0,488000,0,0,,8
